,ImageName,Lat,Long
0,Pittsburgh00000.png,40.5010370003,-80.0955089996
1,Pittsburgh00001.png,40.5010370003,-80.0938089996
2,Pittsburgh00002.png,40.5010370003,-80.0921089996
3,Pittsburgh00003.png,40.5010370003,-80.0904089996
4,Pittsburgh00004.png,40.5010370003,-80.0887089996
5,Pittsburgh00005.png,40.5010370003,-80.0870089996
6,Pittsburgh00006.png,40.5010370003,-80.0853089996
7,Pittsburgh00007.png,40.5010370003,-80.0836089996
8,Pittsburgh00008.png,40.5010370003,-80.0819089996
9,Pittsburgh00009.png,40.5010370003,-80.0802089996
10,Pittsburgh00010.png,40.5010370003,-80.0785089996
11,Pittsburgh00011.png,40.5010370003,-80.0768089996
12,Pittsburgh00012.png,40.5010370003,-80.0751089996
13,Pittsburgh00013.png,40.5010370003,-80.0734089996
14,Pittsburgh00014.png,40.5010370003,-80.0717089996
15,Pittsburgh00015.png,40.5010370003,-80.0700089996
16,Pittsburgh00016.png,40.5010370003,-80.0683089996
17,Pittsburgh00017.png,40.5010370003,-80.0666089996
18,Pittsburgh00018.png,40.5010370003,-80.0649089996
19,Pittsburgh00019.png,40.5010370003,-80.0632089996
20,Pittsburgh00020.png,40.5010370003,-80.0615089996
21,Pittsburgh00021.png,40.5010370003,-80.0598089996
22,Pittsburgh00022.png,40.5010370003,-80.0581089996
23,Pittsburgh00023.png,40.5010370003,-80.0564089996
24,Pittsburgh00024.png,40.5010370003,-80.0547089996
25,Pittsburgh00025.png,40.5010370003,-80.0530089996
26,Pittsburgh00026.png,40.5010370003,-80.0513089996
27,Pittsburgh00027.png,40.5010370003,-80.0496089996
28,Pittsburgh00028.png,40.5010370003,-80.0479089996
29,Pittsburgh00029.png,40.5010370003,-80.0462089996
30,Pittsburgh00030.png,40.5010370003,-80.0445089996
31,Pittsburgh00031.png,40.5010370003,-80.0428089996
32,Pittsburgh00032.png,40.5010370003,-80.0411089996
33,Pittsburgh00033.png,40.5010370003,-80.0394089996
34,Pittsburgh00034.png,40.5010370003,-80.0377089996
35,Pittsburgh00035.png,40.5010370003,-80.0360089996
36,Pittsburgh00036.png,40.5010370003,-80.0343089996
37,Pittsburgh00037.png,40.5010370003,-80.0326089996
38,Pittsburgh00038.png,40.5010370003,-80.0309089996
39,Pittsburgh00039.png,40.5010370003,-80.0292089996
40,Pittsburgh00040.png,40.5010370003,-80.0275089996
41,Pittsburgh00041.png,40.5010370003,-80.0258089996
42,Pittsburgh00042.png,40.5010370003,-80.0241089996
43,Pittsburgh00043.png,40.5010370003,-80.0224089996
44,Pittsburgh00044.png,40.5010370003,-80.0207089996
45,Pittsburgh00045.png,40.5010370003,-80.0190089996
46,Pittsburgh00046.png,40.5010370003,-80.0173089996
47,Pittsburgh00047.png,40.5010370003,-80.0156089996
48,Pittsburgh00048.png,40.5010370003,-80.0139089996
49,Pittsburgh00049.png,40.5010370003,-80.0122089996
50,Pittsburgh00050.png,40.5010370003,-80.0105089996
51,Pittsburgh00051.png,40.5010370003,-80.0088089996
52,Pittsburgh00052.png,40.5010370003,-80.0071089996
53,Pittsburgh00053.png,40.5010370003,-80.0054089996
54,Pittsburgh00054.png,40.5010370003,-80.0037089996
55,Pittsburgh00055.png,40.5010370003,-80.0020089996
56,Pittsburgh00056.png,40.5010370003,-80.0003089996
57,Pittsburgh00057.png,40.5010370003,-79.9986089996
58,Pittsburgh00058.png,40.5010370003,-79.9969089996
59,Pittsburgh00059.png,40.5010370003,-79.9952089996
60,Pittsburgh00060.png,40.5010370003,-79.9935089996
61,Pittsburgh00061.png,40.5010370003,-79.9918089996
62,Pittsburgh00062.png,40.5010370003,-79.9901089996
63,Pittsburgh00063.png,40.5010370003,-79.9884089996
64,Pittsburgh00064.png,40.5010370003,-79.9867089996
65,Pittsburgh00065.png,40.5010370003,-79.9850089996
66,Pittsburgh00066.png,40.5010370003,-79.9833089996
67,Pittsburgh00067.png,40.5010370003,-79.9816089996
68,Pittsburgh00068.png,40.5010370003,-79.9799089996
69,Pittsburgh00069.png,40.5010370003,-79.9782089996
70,Pittsburgh00070.png,40.5010370003,-79.9765089996
71,Pittsburgh00071.png,40.5010370003,-79.9748089996
72,Pittsburgh00072.png,40.5010370003,-79.9731089996
73,Pittsburgh00073.png,40.5010370003,-79.9714089996
74,Pittsburgh00074.png,40.5010370003,-79.9697089996
75,Pittsburgh00075.png,40.5010370003,-79.9680089996
76,Pittsburgh00076.png,40.5010370003,-79.9663089996
77,Pittsburgh00077.png,40.5010370003,-79.9646089996
78,Pittsburgh00078.png,40.5010370003,-79.9629089996
79,Pittsburgh00079.png,40.5010370003,-79.9612089996
80,Pittsburgh00080.png,40.5010370003,-79.9595089996
81,Pittsburgh00081.png,40.5010370003,-79.9578089996
82,Pittsburgh00082.png,40.5010370003,-79.9561089996
83,Pittsburgh00083.png,40.5010370003,-79.9544089996
84,Pittsburgh00084.png,40.5010370003,-79.9527089996
85,Pittsburgh00085.png,40.5010370003,-79.9510089996
86,Pittsburgh00086.png,40.5010370003,-79.9493089996
87,Pittsburgh00087.png,40.5010370003,-79.9476089996
88,Pittsburgh00088.png,40.5010370003,-79.9459089996
89,Pittsburgh00089.png,40.5010370003,-79.9442089996
90,Pittsburgh00090.png,40.5010370003,-79.9425089996
91,Pittsburgh00091.png,40.5010370003,-79.9408089996
92,Pittsburgh00092.png,40.5010370003,-79.9391089996
93,Pittsburgh00093.png,40.5010370003,-79.9374089996
