GEOID,Centroid_X,Centroid_Y,minx,miny,maxx,maxy,MEDIAN_INCOME
15000US420034810003,-79.9884062849,40.4100338002,-79.9916350002,40.4068549999,-79.9845839997,40.4126910001,16350.0
15000US420034810004,-79.9851751237,40.4077981604,-79.9919080002,40.4057379996,-79.9810910004,40.4112429999,43233.0
15000US420030201003,-79.9991047338,40.4413687381,-80.0039830003,40.4390509998,-79.9949979997,40.443716,169485.0
15000US420030402002,-79.9626107338,40.4412437443,-79.9657570002,40.4376629996,-79.9574379997,40.4446629996,35563.0
15000US420030404001,-79.9483968993,40.4458364346,-79.9505880003,40.4444400001,-79.9463819997,40.4471150003,4221.0
15000US420030405001,-79.9542331927,40.440680485,-79.9591690003,40.4375249996,-79.9492440004,40.4431750002,16976.0
15000US420030405002,-79.9582155352,40.4382254291,-79.9620710002,40.4351240004,-79.9545319997,40.4412660003,16311.0
15000US420030510002,-79.9651192038,40.4459972746,-79.9718640003,40.442761,-79.9584739998,40.4490270003,28182.0
15000US420030511001,-79.9764620688,40.4416579039,-79.9796719998,40.4392140001,-79.9730199997,40.444438,9281.0
15000US420030603002,-79.9668985876,40.4666660736,-79.9739080002,40.4610119999,-79.9579610004,40.4728180003,44875.0
15000US420030605001,-79.9693662843,40.4570288266,-79.9749470004,40.452843,-79.9638159997,40.4610119999,26484.0
15000US420030605002,-79.9612809937,40.4586056042,-79.9660789997,40.4551910004,-79.9559359996,40.4608430002,50054.0
15000US420030703001,-79.9334901467,40.4527240099,-79.9359640004,40.4508770002,-79.9309789999,40.4547459996,48194.0
15000US420030703002,-79.9325807994,40.4502299829,-79.9355029999,40.4484000002,-79.9296459996,40.452062,47222.0
15000US420032602001,-80.013375337,40.4916278039,-80.018348,40.4830999996,-80.0076969998,40.4974470002,40577.0
15000US420032602002,-80.022847996,40.4903150286,-80.027808,40.4823370004,-80.0139339997,40.4967729997,42102.0
15000US420032602003,-80.0188640301,40.4933645995,-80.0222570004,40.489409,-80.0155929997,40.4977089997,51563.0
15000US420032607001,-80.0114062025,40.4837656489,-80.018348,40.476343,-80.0075080001,40.4895090001,32857.0
15000US420032607002,-80.0120484636,40.4793426103,-80.0158810004,40.4747700003,-80.0091999999,40.4842729997,51875.0
15000US420030409001,-79.9626927021,40.43550889,-79.9729160003,40.4298350002,-79.9564079998,40.4391309999,18201.0
15000US420030409002,-79.9556755287,40.4318349374,-79.9585270004,40.4279100004,-79.9531909999,40.4351240004,40903.0
15000US420030501001,-79.9675165172,40.450158297,-79.9711309998,40.4469909999,-79.9643360003,40.4531960001,28056.0
15000US420030406001,-79.9522852231,40.4367501589,-79.9564079998,40.4342220001,-79.9489529996,40.4413450004,21818.0
15000US420030501002,-79.972139244,40.4474811848,-79.9755500003,40.4443640002,-79.9674849998,40.4504929996,14231.0
15000US420030501003,-79.9776952801,40.4459723913,-79.9824290001,40.4428719997,-79.9733929998,40.4494089999,15595.0
15000US420030703003,-79.9374006747,40.450162722,-79.9409480001,40.4476859996,-79.9342050003,40.4531069996,90375.0
15000US420030705001,-79.9275189894,40.4551544807,-79.9303869996,40.4527520003,-79.925209,40.457191,57167.0
15000US420030705003,-79.9293780373,40.4574216478,-79.9340569997,40.4547459996,-79.9250430004,40.4599539997,51667.0
15000US420030706001,-79.9234925447,40.4546022248,-79.9253550004,40.4519320003,-79.9207120004,40.4573779996,65972.0
15000US420030706002,-79.9274584384,40.4519412316,-79.9309789999,40.4498270003,-79.9239709996,40.4541609996,39962.0
